i,x,y,q,te,tl
2,2233,10,1,0,100000
3,5530,1424,1,0,100000
4,401,841,1,0,100000
5,3082,1644,1,0,100000
6,7608,4458,1,0,100000
7,7573,3716,1,0,100000
8,7265,1268,1,0,100000
9,6898,1885,1,0,100000
10,1112,2049,1,0,100000
11,5468,2606,1,0,100000
12,5989,2873,1,0,100000
13,4706,2674,1,0,100000
14,4612,2035,1,0,100000
15,6347,2683,1,0,100000
16,6107,669,1,0,100000
17,7611,5184,1,0,100000
18,7462,3590,1,0,100000
19,7732,4723,1,0,100000
20,5900,3561,1,0,100000
21,4483,3369,1,0,100000
22,6101,1110,1,0,100000
23,5199,2182,1,0,100000
24,1633,2809,1,0,100000
25,4307,2322,1,0,100000
26,675,1006,1,0,100000
27,7555,4819,1,0,100000
28,7541,3981,1,0,100000
29,3177,756,1,0,100000
30,7352,4506,1,0,100000
31,7545,2801,1,0,100000
32,3245,3305,1,0,100000
33,6426,3173,1,0,100000
34,4608,1198,1,0,100000
35,23,2216,1,0,100000
36,7248,3779,1,0,100000
37,7762,4595,1,0,100000
38,7392,2244,1,0,100000
39,3484,2829,1,0,100000
40,6271,2135,1,0,100000
41,4985,140,1,0,100000
42,1916,1569,1,0,100000
43,7280,4899,1,0,100000
44,7509,3239,1,0,100000
45,10,2676,1,0,100000
46,6807,2993,1,0,100000
47,5185,3258,1,0,100000
48,3023,1942,1,0,100000
