in,x,y,q,tc,te,tl
2,45,68,10,90,912,967
3,45,70,30,90,825,870
4,42,66,10,90,65,146
5,42,68,10,90,727,782
6,42,65,10,90,15,67
7,40,69,20,90,621,702
8,40,66,20,90,170,225
9,38,68,20,90,255,324
10,38,70,10,90,534,605
11,35,66,10,90,357,410
12,35,69,10,90,448,505
13,25,85,20,90,652,721
14,22,75,30,90,30,92
15,22,85,10,90,567,620
16,20,80,40,90,384,429
17,20,85,40,90,475,528
18,18,75,20,90,99,148
19,15,75,20,90,179,254
20,15,80,10,90,278,345
21,30,50,10,90,10,73
22,30,52,20,90,914,965
23,28,52,20,90,812,883
24,28,55,10,90,732,777
25,25,50,10,90,65,144
26,25,52,40,90,169,224
27,25,55,10,90,622,701
28,23,52,10,90,261,316
29,23,55,20,90,546,593
30,20,50,10,90,358,405
31,20,55,10,90,449,504
32,10,35,20,90,200,237
33,10,40,30,90,31,100
34,8,40,40,90,87,158
35,8,45,20,90,751,816
36,5,35,10,90,283,344
37,5,45,10,90,665,716
38,2,40,20,90,383,434
39,0,40,30,90,479,522
40,0,45,20,90,567,624
41,35,30,10,90,264,321
42,35,32,10,90,166,235
43,33,32,20,90,68,149
44,33,35,10,90,16,80
45,32,30,10,90,359,412
46,30,30,10,90,541,600
47,30,32,30,90,448,509
48,30,35,10,90,1054,1127
49,28,30,10,90,632,693
50,28,35,10,90,1001,1066
51,26,32,10,90,815,880
52,25,30,10,90,725,786
53,25,35,10,90,912,969
54,44,5,20,90,286,347
55,42,10,40,90,186,257
56,42,15,10,90,95,158
57,40,5,30,90,385,436
58,40,15,40,90,35,87
59,38,5,30,90,471,534
60,38,15,10,90,651,740
61,35,5,20,90,562,629
62,50,30,10,90,531,610
63,50,35,20,90,262,317
64,50,40,50,90,171,218
65,48,30,10,90,632,693
66,48,40,10,90,76,129
67,47,35,10,90,826,875
68,47,40,10,90,12,77
69,45,30,10,90,734,777
70,45,35,10,90,916,969
71,95,30,30,90,387,456
72,95,35,20,90,293,360
73,53,30,10,90,450,505
74,92,30,10,90,478,551
75,53,35,50,90,353,412
76,45,65,20,90,997,1068
77,90,35,10,90,203,260
78,88,30,10,90,574,643
79,88,35,20,90,109,170
80,87,30,10,90,668,731
81,85,25,10,90,769,820
82,85,35,30,90,47,124
83,75,55,20,90,369,420
84,72,55,10,90,265,338
85,70,58,20,90,458,523
86,68,60,30,90,555,612
87,66,55,10,90,173,238
88,65,55,20,90,85,144
89,65,60,30,90,645,708
90,63,58,10,90,737,802
91,60,55,10,90,20,84
92,60,60,10,90,836,889
93,67,85,20,90,368,441
94,65,85,40,90,475,518
95,65,82,10,90,285,336
96,62,80,30,90,196,239
97,60,80,10,90,95,156
98,60,85,30,90,561,622
99,58,75,20,90,30,84
100,55,80,10,90,743,820
101,55,85,20,90,647,726
