in,x,y,qc,tc,tr,te,tl
11,41,49,10,0,0,0,0
12,35,17,7,0,0,0,0
13,55,45,13,0,0,0,0
14,55,20,19,0,0,0,0
15,15,30,26,0,0,0,0
16,25,30,3,0,0,0,0
17,20,50,5,0,0,0,0
18,10,43,9,0,0,0,0
19,55,60,16,0,0,0,0
20,30,60,16,0,0,0,0
21,20,65,12,0,0,0,0
22,50,35,19,0,0,0,0
23,30,25,23,0,0,0,0
24,15,10,20,0,0,0,0
25,30,5,8,0,0,0,0
26,10,20,19,0,0,0,0
27,5,30,2,0,0,0,0
28,20,40,12,0,0,0,0
29,15,60,17,0,0,0,0
30,45,65,9,0,0,0,0
31,45,20,11,0,0,0,0
32,45,10,18,0,0,0,0
33,55,5,29,0,0,0,0
34,65,35,3,0,0,0,0
35,65,20,6,0,0,0,0
36,45,30,17,0,0,0,0
37,35,40,16,0,0,0,0
38,41,37,16,0,0,0,0
39,64,42,9,0,0,0,0
40,40,60,21,0,0,0,0
41,31,52,27,0,0,0,0
42,35,69,23,0,0,0,0
43,53,52,11,0,0,0,0
44,65,55,14,0,0,0,0
45,63,65,8,0,0,0,0
46,2,60,5,0,0,0,0
47,20,20,8,0,0,0,0
48,5,5,16,0,0,0,0
49,60,12,31,0,0,0,0
50,40,25,9,0,0,0,0
51,42,7,5,0,0,0,0
52,24,12,5,0,0,0,0
53,23,3,7,0,0,0,0
54,11,14,18,0,0,0,0
55,6,38,16,0,0,0,0
56,2,48,1,0,0,0,0
57,8,56,27,0,0,0,0
58,13,52,36,0,0,0,0
59,6,68,30,0,0,0,0
60,47,47,13,0,0,0,0
61,49,58,10,0,0,0,0
62,27,43,9,0,0,0,0
63,37,31,14,0,0,0,0
64,57,29,18,0,0,0,0
65,63,23,2,0,0,0,0
66,53,12,6,0,0,0,0
67,32,12,7,0,0,0,0
68,36,26,18,0,0,0,0
69,21,24,28,0,0,0,0
70,17,34,3,0,0,0,0
71,12,24,13,0,0,0,0
72,24,58,19,0,0,0,0
73,27,69,10,0,0,0,0
74,15,77,9,0,0,0,0
75,62,77,20,0,0,0,0
76,49,73,25,0,0,0,0
77,67,5,25,0,0,0,0
78,56,39,36,0,0,0,0
79,37,47,6,0,0,0,0
80,37,56,5,0,0,0,0
81,57,68,15,0,0,0,0
82,47,16,25,0,0,0,0
83,44,17,9,0,0,0,0
84,46,13,8,0,0,0,0
85,49,11,18,0,0,0,0
86,49,42,13,0,0,0,0
87,53,43,14,0,0,0,0
88,61,52,3,0,0,0,0
89,57,48,23,0,0,0,0
90,56,37,6,0,0,0,0
91,55,54,26,0,0,0,0
92,15,47,16,0,0,0,0
93,14,37,11,0,0,0,0
94,11,31,7,0,0,0,0
95,16,22,41,0,0,0,0
96,4,18,35,0,0,0,0
97,28,18,26,0,0,0,0
98,26,52,9,0,0,0,0
99,26,35,15,0,0,0,0
100,31,67,3,0,0,0,0
101,15,19,1,0,0,0,0
102,22,22,2,0,0,0,0
103,18,24,22,0,0,0,0
104,26,27,27,0,0,0,0
105,25,24,20,0,0,0,0
106,22,27,11,0,0,0,0
107,25,21,12,0,0,0,0
108,19,21,10,0,0,0,0
109,20,26,9,0,0,0,0
110,18,18,17,0,0,0,0
