iv,jv,id,q,l,s,tf,td,tc,co,cf,r,w
1,1,1,150,10000,1,0,0,0,100,1000,1,10000
2,1,1,150,10000,1,0,0,0,100,1000,1,10000
3,1,1,150,10000,1,0,0,0,100,1000,1,10000
4,1,1,150,10000,1,0,0,0,100,1000,1,10000
1,1,2,150,10000,1,0,0,0,100,1000,1,10000
2,1,2,150,10000,1,0,0,0,100,1000,1,10000
3,1,2,150,10000,1,0,0,0,100,1000,1,10000
4,1,2,150,10000,1,0,0,0,100,1000,1,10000
1,1,3,150,10000,1,0,0,0,100,1000,1,10000
2,1,3,150,10000,1,0,0,0,100,1000,1,10000
3,1,3,150,10000,1,0,0,0,100,1000,1,10000
4,1,3,150,10000,1,0,0,0,100,1000,1,10000
1,1,4,150,10000,1,0,0,0,100,1000,1,10000
2,1,4,150,10000,1,0,0,0,100,1000,1,10000
3,1,4,150,10000,1,0,0,0,100,1000,1,10000
4,1,4,150,10000,1,0,0,0,100,1000,1,10000
1,1,5,150,10000,1,0,0,0,100,1000,1,10000
2,1,5,150,10000,1,0,0,0,100,1000,1,10000
3,1,5,150,10000,1,0,0,0,100,1000,1,10000
4,1,5,150,10000,1,0,0,0,100,1000,1,10000
1,1,6,150,10000,1,0,0,0,100,1000,1,10000
2,1,6,150,10000,1,0,0,0,100,1000,1,10000
3,1,6,150,10000,1,0,0,0,100,1000,1,10000
4,1,6,150,10000,1,0,0,0,100,1000,1,10000
1,1,7,150,10000,1,0,0,0,100,1000,1,10000
2,1,7,150,10000,1,0,0,0,100,1000,1,10000
3,1,7,150,10000,1,0,0,0,100,1000,1,10000
4,1,7,150,10000,1,0,0,0,100,1000,1,10000
1,1,8,150,10000,1,0,0,0,100,1000,1,10000
2,1,8,150,10000,1,0,0,0,100,1000,1,10000
3,1,8,150,10000,1,0,0,0,100,1000,1,10000
4,1,8,150,10000,1,0,0,0,100,1000,1,10000
1,1,9,150,10000,1,0,0,0,100,1000,1,10000
2,1,9,150,10000,1,0,0,0,100,1000,1,10000
3,1,9,150,10000,1,0,0,0,100,1000,1,10000
1,1,10,150,10000,1,0,0,0,100,1000,1,10000
2,1,10,150,10000,1,0,0,0,100,1000,1,10000
3,1,10,150,10000,1,0,0,0,100,1000,1,10000
4,1,10,150,10000,1,0,0,0,100,1000,1,10000
