in,x,y,q,te,tl
11,7,11,11,0,10000
12,18,14,11,0,10000
13,24,15,13,0,10000
14,5,5,20,0,10000
15,4,11,16,0,10000
16,2,18,12,0,10000
17,11,8,11,0,10000
18,12,3,19,0,10000
19,21,19,12,0,10000
20,14,9,18,0,10000
21,25,17,12,0,10000
22,25,16,15,0,10000
23,11,19,19,0,10000
24,12,4,15,0,10000
25,21,16,15,0,10000
26,12,2,18,0,10000
27,23,17,19,0,10000
28,20,18,12,0,10000
29,18,20,19,0,10000
30,20,7,11,0,10000
31,8,6,18,0,10000
32,5,8,16,0,10000
33,9,18,13,0,10000
34,20,2,20,0,10000
35,12,3,13,0,10000
36,22,17,15,0,10000
37,12,8,16,0,10000
38,3,16,18,0,10000
39,12,6,16,0,10000
40,24,1,14,0,10000
41,16,18,11,0,10000
42,4,12,14,0,10000
43,13,15,11,0,10000
44,16,13,18,0,10000
45,9,2,11,0,10000
46,2,7,15,0,10000
47,17,11,17,0,10000
48,16,16,14,0,10000
49,6,11,20,0,10000
50,7,14,17,0,10000
51,1,5,17,0,10000
52,17,12,18,0,10000
53,8,11,17,0,10000
54,12,4,11,0,10000
55,19,3,13,0,10000
56,7,6,18,0,10000
57,13,18,11,0,10000
58,7,17,19,0,10000
59,8,17,20,0,10000
60,8,14,16,0,10000
61,7,5,19,0,10000
62,21,2,15,0,10000
63,21,14,13,0,10000
64,7,10,16,0,10000
65,25,18,16,0,10000
66,14,5,20,0,10000
67,21,13,13,0,10000
68,22,5,15,0,10000
69,6,8,16,0,10000
70,19,2,20,0,10000
71,11,5,17,0,10000
72,14,16,14,0,10000
73,7,18,11,0,10000
74,25,16,13,0,10000
75,15,9,14,0,10000
76,14,38,15,0,10000
77,12,41,11,0,10000
78,20,47,16,0,10000
79,14,43,11,0,10000
80,13,46,15,0,10000
81,6,38,15,0,10000
82,4,35,14,0,10000
83,6,35,13,0,10000
84,20,30,14,0,10000
85,14,34,11,0,10000
86,18,45,20,0,10000
87,22,45,13,0,10000
88,9,31,14,0,10000
89,6,48,19,0,10000
90,8,42,16,0,10000
91,23,34,12,0,10000
92,8,50,16,0,10000
93,15,37,17,0,10000
94,13,30,14,0,10000
95,20,31,20,0,10000
96,2,43,14,0,10000
97,3,48,16,0,10000
98,14,47,12,0,10000
99,21,45,13,0,10000
100,5,31,15,0,10000
101,7,34,13,0,10000
102,20,46,14,0,10000
103,15,40,14,0,10000
104,17,42,12,0,10000
105,11,32,18,0,10000
106,2,30,12,0,10000
107,23,40,20,0,10000
108,1,39,15,0,10000
109,1,47,19,0,10000
110,14,37,18,0,10000
111,14,48,20,0,10000
112,3,47,19,0,10000
113,14,48,19,0,10000
114,3,50,15,0,10000
115,9,50,15,0,10000
116,4,35,16,0,10000
117,3,43,12,0,10000
118,14,31,17,0,10000
119,5,45,16,0,10000
120,20,42,19,0,10000
121,16,44,16,0,10000
122,4,44,13,0,10000
123,11,31,18,0,10000
124,14,40,19,0,10000
125,19,35,20,0,10000
126,7,46,19,0,10000
127,3,44,12,0,10000
128,5,30,19,0,10000
129,1,50,14,0,10000
130,2,33,18,0,10000
131,19,43,15,0,10000
132,6,34,12,0,10000
133,8,47,17,0,10000
134,7,44,15,0,10000
135,12,36,13,0,10000
136,12,49,13,0,10000
137,5,45,16,0,10000
138,7,46,18,0,10000
139,10,36,14,0,10000
140,3,43,17,0,10000
141,35,39,18,0,10000
142,26,31,15,0,10000
143,47,28,11,0,10000
144,32,24,11,0,10000
145,45,40,16,0,10000
146,42,16,13,0,10000
147,50,36,11,0,10000
148,34,22,19,0,10000
149,48,13,16,0,10000
150,32,16,19,0,10000
151,37,29,15,0,10000
152,49,24,11,0,10000
153,27,26,20,0,10000
154,50,30,19,0,10000
155,49,11,13,0,10000
156,34,18,19,0,10000
157,32,18,17,0,10000
158,26,28,19,0,10000
159,33,16,13,0,10000
160,43,21,16,0,10000
161,42,26,16,0,10000
162,47,40,17,0,10000
163,34,15,15,0,10000
164,48,38,11,0,10000
165,38,32,18,0,10000
166,44,15,11,0,10000
167,31,25,16,0,10000
168,44,29,18,0,10000
169,49,17,17,0,10000
170,48,39,13,0,10000
171,34,29,13,0,10000
172,33,23,18,0,10000
173,34,27,17,0,10000
174,36,21,12,0,10000
175,29,30,13,0,10000
176,33,27,12,0,10000
177,28,23,19,0,10000
178,45,38,12,0,10000
179,29,32,15,0,10000
180,40,36,16,0,10000
181,35,16,15,0,10000
182,44,30,12,0,10000
183,27,22,15,0,10000
184,47,33,11,0,10000
185,30,15,20,0,10000
186,36,29,17,0,10000
187,28,13,19,0,10000
188,37,40,16,0,10000
189,31,17,16,0,10000
190,32,13,13,0,10000
191,32,31,17,0,10000
192,32,35,18,0,10000
193,33,23,18,0,10000
194,30,27,14,0,10000
195,49,20,14,0,10000
196,40,38,13,0,10000
197,38,36,11,0,10000
198,33,38,17,0,10000
199,35,18,18,0,10000
200,43,39,18,0,10000
201,44,29,18,0,10000
202,48,36,13,0,10000
203,44,35,20,0,10000
204,42,29,16,0,10000
205,30,32,12,0,10000
206,36,17,14,0,10000
207,41,24,12,0,10000
208,28,28,13,0,10000
209,27,21,18,0,10000
210,50,32,15,0,10000
