in,x,y,q,te,tl
6,28,23,19,0,10000
7,33,5,17,0,10000
8,45,13,19,0,10000
9,14,3,18,0,10000
10,50,32,14,0,10000
11,17,45,19,0,10000
12,1,22,20,0,10000
13,39,36,13,0,10000
14,8,8,11,0,10000
15,17,9,16,0,10000
16,21,18,17,0,10000
17,22,16,16,0,10000
18,17,39,11,0,10000
19,42,6,14,0,10000
20,21,5,13,0,10000
21,38,2,12,0,10000
22,39,17,16,0,10000
23,21,38,12,0,10000
24,31,6,13,0,10000
25,40,33,20,0,10000
26,26,26,16,0,10000
27,40,48,16,0,10000
28,33,42,16,0,10000
29,14,50,13,0,10000
30,11,10,20,0,10000
31,24,5,16,0,10000
32,7,44,11,0,10000
33,49,42,16,0,10000
34,8,31,12,0,10000
35,40,24,14,0,10000
36,35,44,13,0,10000
37,7,30,17,0,10000
38,16,48,19,0,10000
39,40,10,11,0,10000
40,10,3,11,0,10000
41,7,31,19,0,10000
42,33,29,11,0,10000
43,25,34,15,0,10000
44,49,9,14,0,10000
45,5,48,14,0,10000
46,23,3,18,0,10000
47,3,49,12,0,10000
48,15,18,16,0,10000
49,38,50,17,0,10000
50,42,31,11,0,10000
51,12,23,18,0,10000
52,47,22,14,0,10000
53,24,24,16,0,10000
54,14,17,15,0,10000
55,44,20,15,0,10000
