i,j,l,t,f
1,1,0.0,0.0,0.0
1,2,1138.251729627502,18.970862160458367,386.16997739183586
1,3,1176.9218325785278,19.615363876308795,399.2894239901947
1,4,1219.6852052886434,20.328086754810723,413.79757736507975
1,5,1264.1661283233307,21.06943547205551,428.8884369663162
1,6,1222.9591162422398,20.382651937370664,414.9083036534966
1,7,1185.7912969827364,19.763188283045608,402.29853065728656
1,8,1612.036289914095,26.86727149856825,546.9089142826671
1,9,1640.4645683464182,27.34107613910697,556.5536592487844
1,10,1655.3742779202532,27.589571298670887,561.6120150229775
1,11,1669.9667661363803,27.832779435606337,566.5627484133468
1,12,1686.0011862392032,28.100019770653386,572.0026800975487
1,13,1698.0577139779436,28.300961899632394,576.0930486189452
1,14,1723.5138525698017,28.725230876163362,584.7294479396107
1,15,1695.3170794869025,28.25528465811504,575.1632448401352
1,16,1629.7594914587858,27.162658190979762,552.9217918928456
1,17,1645.6354395794956,27.427257326324927,558.3079594402077
1,18,1775.6452348371845,29.594087247286406,602.4158473428328
1,19,1817.255072905287,30.287584548421453,616.5326457695706
1,20,1876.1972177785576,31.269953629642625,636.5297045577756
1,21,1933.4166648707671,32.22361108117945,655.9423107632615
1,22,1876.2729012593024,31.271215020988375,636.55538138065
1,23,1836.0010893242957,30.60001815540493,622.8925295705683
1,24,1928.5486771144772,32.142477951907956,654.2907686018406
1,25,1962.2945752358385,32.70490958726398,665.7396005037766
1,26,1958.0091930325557,32.63348655054259,664.2857165293602
1,27,1934.0372281835735,32.233953803059556,656.1528467231366
1,28,1894.4656238633627,31.57442706438938,642.7275514673189
1,29,1855.3975315279472,30.923292192132454,629.4730806492979
1,30,1897.6037521042163,31.62672920173694,643.7922113138887
1,31,1871.0959355415212,31.184932259025352,634.7990135384961
1,32,1893.8056922503956,31.56342820417326,642.5036591863529
1,33,1932.0973060381818,32.20162176730303,655.4946973247843
1,34,1955.326059765992,32.588767662766536,663.3754209542091
1,35,2022.5231766286388,33.70871961047731,686.1731100981885
1,36,1929.6113598338916,32.16018933056486,654.6513005923039
1,37,1906.8560512005095,31.780934186675157,646.9312007305859
1,38,1869.3849255838136,31.156415426396894,634.2185262354798
1,39,2002.4984394500786,33.37497399083465,679.3793999704187
1,40,1612.4515496597098,26.874192494328497,547.0497977466688
1,41,1690.7099100673659,28.178498501122764,573.6001894418666
1,42,1810.4143172213371,30.173571953688953,614.2118107564944
1,43,1831.420213932346,30.523670232205767,621.3383948387695
1,44,1866.9761648183942,31.116269413639902,633.4013158890225
1,45,1917.837323653912,31.963955394231867,650.6567718188476
1,46,1977.3972792537163,32.95662132089527,670.8634327083173
1,47,2015.341162185698,33.58901936976164,683.7364976311328
1,48,2092.7493877672023,34.8791564627867,709.9984675844172
1,49,2134.9004660639334,35.58167443439889,724.2988903548857
1,50,2096.0200380721553,34.93366730120259,711.108087645995
1,51,2057.619984350852,34.29366640584753,698.0802595378367
1,52,2019.7277044195835,33.662128406993055,685.2247017525902
1,53,1982.3723161908815,33.039538603181356,672.551293004543
1,54,1938.2982226685347,32.304970377808914,657.5984567767781
1,55,1887.9883474216676,31.466472457027795,640.5300325600833
1,56,1866.815470259447,31.113591170990784,633.3467977076921
1,57,1818.3783984638621,30.30630664106437,616.9137518063702
1,58,1833.057555015663,30.550959250261048,621.8938888061139
1,59,1881.116689628796,31.3519448271466,638.1987135157572
1,60,1902.1303845951254,31.702173076585424,645.3279432800045
1,61,1952.0758181996928,32.53459696999488,662.2727248813583
1,62,1995.8456854175877,33.26409475695979,677.1223475035084
1,63,2163.007165961315,36.05011943268858,733.8345346956002
1,64,2128.097742116184,35.4682957019364,721.9909582123489
1,65,2052.997808084558,34.21663013474264,696.5121128284618
1,66,1972.9419656948858,32.882366094914765,669.3518968226216
1,67,1923.5384061671346,32.05897343611891,652.590954608063
1,68,1902.761151589973,31.712685859832884,645.5419410010707
1,69,1855.2627846210896,30.921046410351494,629.4273656210486
1,70,1944.659353203023,32.41098922005038,659.7565713403234
1,71,1870.1871564097535,31.16978594016256,634.490695784493
1,72,1917.3158320944412,31.95526386824069,650.4798475247842
1,73,1937.937047481161,32.29895079135268,657.4759223581497
1,74,1986.9826370655583,33.11637728442597,674.1154175840205
1,75,2030.0,33.833333333333336,688.7097411764705
1,76,2103.5446275275453,35.05907712545909,713.6609241269216
1,77,2118.5136298829893,35.30856049804982,718.7393959189845
1,78,2141.1212016137715,35.68535336022953,726.4093736900858
1,79,2213.820227570432,36.897003792840536,751.0736728774716
1,80,2198.590457543196,36.6431742923866,745.9067315111489
1,81,2101.547049199708,35.025784153328466,712.9832139529587
1,82,2029.4087809014723,33.823479681691204,688.5091607073446
1,83,2008.2330542046159,33.47055090341026,681.3249591050709
1,84,1959.7193676646664,32.66198946107777,664.8659204349009
1,85,1905.9118552545917,31.76519758757653,646.6108672598801
1,86,1907.9046097748178,31.79841016291363,647.2869408804974
1,87,1974.36065600994,32.906010933499,669.8332100441439
1,88,2022.5231766286388,33.70871961047731,686.1731100981885
1,89,2064.8002324680224,34.413337207800375,700.5162727508216
1,90,2079.0863377935993,34.65143896322665,705.3630608794905
1,91,2211.650967037973,36.86084945063288,750.3377167888733
1,92,2226.7914136712493,37.113190227854155,755.4743537751295
1,93,2194.2652528807907,36.57108754801318,744.4393371350011
1,94,2172.210855326895,36.20351425544825,736.9570324891159
1,95,2157.614423385235,35.96024038975392,732.0049611272242
1,96,2121.508896988179,35.35848161646965,719.7555878563095
1,97,2064.945519862449,34.41575866437415,700.5655638068865
1,98,2044.1379601191304,34.06896600198551,693.506268690958
1,99,1996.4969321288725,33.27494886881454,677.343293293642
1,100,1943.707796969493,32.395129949491555,659.4337407751465
1,101,2185.8865478336243,36.43144246389374,741.5967283741991
1,102,2207.8043391568917,36.796738985948195,749.032687186715
1,103,2264.9061790723254,37.74843631787209,768.405393289601
1,104,2279.692961782354,37.994882696372564,773.42204417288
1,105,2324.521456128121,38.74202426880201,788.6308228616505
1,106,2377.666923688009,39.62778206146682,806.6612668064156
1,107,2400.708228835816,40.011803813930264,814.4783955279496
1,108,2478.5883078881816,41.309805131469695,840.9004492653673
1,109,2473.8633753705963,41.23105625617661,839.2974408657307
1,110,2458.373446000424,40.97289076667373,834.0422363103743
1,111,2435.261792908516,40.587696548475265,826.2012409315131
1,112,2397.081558896151,39.95135931493585,813.2479901508664
1,113,2381.931988953505,39.698866482558415,808.1082579370069
1,114,2359.3431289238115,39.322385482063524,800.4446284076859
1,115,2426.6231681083077,40.4437194684718,823.2704502663545
1,116,2448.5914318236105,40.809857197060175,830.7235326394888
1,117,2463.331078032346,41.055517967205766,835.7241917160655
1,118,2500.4999500099975,41.674999166833295,848.3343218636271
1,119,2523.0140705116964,42.05023450852828,855.9725948210364
1,120,2538.1095327034254,42.30182554505709,861.0939701210388
1,121,2476.327926588076,41.27213210980127,840.133579009133
1,122,2440.0204917172314,40.66700819528719,827.8157050817038
1,123,2554.8581173912576,42.58096862318762,866.776193483319
1,124,2644.409196777231,44.07348661295385,897.1578194468597
1,125,2705.42048487846,45.090341414640996,917.8568679380126
1,126,2728.5527299284504,45.47587883214084,925.7048494657021
1,127,2783.0379084734004,46.38396514122334,944.1898116399121
1,128,2830.282671395209,47.171377856586815,960.2183478191349
1,129,2814.3915861159053,46.906526435265086,954.8270447503061
1,130,2775.8422145359777,46.264036908932965,941.7485581870907
1,131,2752.8893911670334,45.88148985278389,933.9614483143346
1,132,2772.3816476091456,46.20636079348576,940.5745058952175
1,133,2795.1744131627993,46.58624021937999,948.3073136120415
1,134,2785.4802099458543,46.42467016576424,945.018401203936
1,135,2808.1666617207748,46.80277769534624,952.7151402828118
1,136,2823.3667845322543,47.056113075537574,957.8720233603216
1,137,2905.1850199255814,48.419750332093024,985.6301591835993
1,138,2724.4265451650554,45.407109086084255,924.3049757511975
1,139,2637.593600234881,43.95989333724801,894.8455200721575
1,140,2805.2807346146305,46.75467891024384,951.7360436767395
1,141,2827.8083386255157,47.13013897709193,959.3788911287902
1,142,2825.261049885479,47.08768416475799,958.514682966794
1,143,2847.6305940202287,47.460509900337144,966.1039060955028
1,144,2885.220962075522,48.08701603459203,978.8570354817537
1,145,2875.8650872389685,47.931084787316145,975.6829063501468
1,146,2860.9439001839933,47.682398336399885,970.6206566581872
1,147,2838.6792703650053,47.31132117275009,963.0670273773867
1,148,2858.9508565206224,47.649180942010375,969.9444849411658
1,149,2881.058833137567,48.01764721895945,977.4449671351517
1,150,2918.2186347153634,48.636977245256055,990.052020005503
1,151,2955.757094214611,49.26261823691018,1002.7875385896853
1,152,2894.563870430224,48.24273117383707,982.0267655284545
1,153,2872.5598340156466,47.87599723359411,974.5615466989366
1,154,2683.3002068348596,44.72167011391433,910.3522122896582
1,155,2696.75731203236,44.94595520053933,914.9177489584043
1,156,2717.094035914105,45.28490059856842,921.8173055303129
1,157,2730.750812505601,45.512513541760015,926.4505838907236
1,158,2751.38147118861,45.8563578531435,933.4498625123371
1,159,2786.1442891566116,46.43573815261019,945.2437006233258
1,160,2864.210187817926,47.7368364636321,971.7287966143319
1,161,2893.112510774512,48.21854184624187,981.5343687142478
1,162,2914.9614062625255,48.58269010437542,988.9469535204258
1,163,3003.7643050013094,50.06273841668849,1019.0747473165383
1,164,3041.3977050034086,50.68996175005681,1031.8424759741915
1,165,3102.337828154761,51.70563046924602,1052.5173806258322
1,166,3125.41197284454,52.090199547409,1060.3456506835494
1,167,2457.722522987491,40.96204204979152,833.8214003400478
1,168,2565.6383221335,42.760638702225,870.4335491571413
1,169,2692.675249635574,44.877920827259565,913.532844457539
1,170,2770.6497432912734,46.177495721521225,939.9869298486637
1,171,2918.1158304632118,48.63526384105353,990.0171420301872
1,172,2990.819285747636,49.84698809579393,1014.6829439373649
1,173,3787.162526219333,63.11937543698888,1284.8550360717957
1,174,3864.3240029790463,64.40540004965077,1311.0332925683356
1,175,3886.000514668005,64.76667524446675,1318.3873934328242
1,176,3809.278146840947,63.48796911401578,1292.3581116157704
1,177,3903.2550518765743,65.05425086460957,1324.241269223481
1,178,3970.2015062210635,66.1700251036844,1346.953917127065
1,179,4018.084120572888,66.9680686762148,1363.1988545345023
1,180,3976.0407442580363,66.26734573763393,1348.9349713719473
1,181,3880.579853578586,64.67633089297644,1316.548348065386
1,182,3804.2213395122003,63.403688991870006,1290.6425094154943
1,183,3889.730067755345,64.82883446258909,1319.6527035517827
1,184,3984.971769034255,66.41619615057091,1351.9649633729673
1,185,4032.679010285842,67.21131683809737,1368.1504026708117
1,186,4237.570058417914,70.62616764029856,1437.662944901558
1,187,4161.5622066719125,69.35937011119854,1411.8760740131993
1,188,3953.353007258522,65.88921678764204,1341.2377962602159
1,189,3877.9633830143366,64.63272305023894,1315.6606688707554
1,190,3905.713763193611,65.09522938656019,1325.0754260879069
1,191,3980.577847499029,66.34296412498381,1350.4742557063291
1,192,4187.4335815628165,69.79055969271361,1420.6533488432456
1,193,4262.980178232125,71.04966963720207,1446.28373162102
1,194,4009.600977653512,66.82668296089187,1360.3208135668342
1,195,4097.633463354184,68.29389105590306,1390.1872325037953
1,196,4174.805384685615,69.58008974476024,1416.369032487175
1,197,4154.635964798841,69.24393274664735,1409.5262364527416
1,198,4077.0822900697012,67.95137150116169,1383.214920566047
2,1,1138.251729627502,18.970862160458367,386.16997739183586
2,2,0.0,0.0,0.0
2,3,76.0,1.2666666666666666,25.784207058823526
2,4,153.0,2.55,51.90767999999999
2,5,162.24980739587951,2.7041634565979917,55.04582406775781
2,6,93.23089616645332,1.5538482694408886,31.630062250467223
2,7,54.0,0.9,18.320357647058824
2,8,483.9586759218188,8.065977932030313,164.19066720897692
2,9,520.0740331914294,8.66790055319049,176.4433757595431
2,10,539.4117165950328,8.99019527658388,183.0039919821284
2,11,558.5158905528114,9.308598175880189,189.48538641653823
2,12,579.6524820959538,9.66087470159923,196.6563107963562
2,13,595.6148084122825,9.926913473538042,202.07178351847102
2,14,769.0624161926,12.817706936543335,260.91663921406735
2,15,746.2821182367966,12.43803530394661,253.18806132782873
2,16,739.0,12.316666666666666,250.7174870588235
2,17,759.0,12.65,257.50280470588234
2,18,919.0,15.316666666666666,311.7853458823529
2,19,969.0,16.15,328.74863999999997
2,20,1039.0,17.316666666666666,352.4972517647058
2,21,1044.192032147344,17.403200535789065,354.2587311323793
2,22,974.5650311805775,16.242750519676292,330.63666521380026
2,23,924.8659362307599,15.414432270512664,313.77545791350775
2,24,1026.516926309547,17.10861543849245,348.2621707546375
2,25,1050.3508937493223,17.505848229155372,356.3482227480642
2,26,1033.7490024178983,17.229150040298304,350.71576743678094
2,27,1004.1897231101302,16.736495385168837,340.687312460714
2,28,954.985340201618,15.916422336693634,323.9939440776256
2,29,905.8680919427508,15.09780153237918,307.33013750833254
2,30,941.369746698926,15.689495778315433,319.3746377341758
2,31,890.3016342790796,14.838360571317994,302.04896951395745
2,32,919.2806970670058,15.321344951116764,311.8805768204645
2,33,967.7174174313491,16.12862362385582,328.31350349315613
2,34,996.8535499259658,16.61422583209943,338.1983991922944
2,35,1069.5966529491386,17.826610882485642,362.87765222454203
2,36,953.4552952288849,15.890921587148082,323.4748520199116
2,37,924.5739559386258,15.40956593231043,313.6763989620672
2,38,876.6053844233447,14.610089740389078,297.40229922172523
2,39,1028.9689013765187,17.149481689608645,349.0940422392411
2,40,621.4957763331944,10.358262938886574,210.85231293630736
2,41,652.4086142901548,10.873476904835913,221.339984181809
2,42,771.4253042258855,12.857088403764758,261.71828650758107
2,43,799.0851018508604,13.318085030847673,271.102312154522
2,44,845.5394727628037,14.09232454604673,286.86269529111325
2,45,911.206343261503,15.186772387691716,309.14122405221076
2,46,986.9837891272582,16.449729818787638,334.84992608630847
2,47,1034.6675794669513,17.24445965778252,351.02740928983707
2,48,1130.6356619176665,18.843927698627777,383.58610546019884
2,49,1167.7829421600575,19.463049036000957,396.1889102686455
2,50,1119.9629458156194,18.66604909692699,379.96521701473534
2,51,1072.34182982853,17.8723638304755,363.80899708074367
2,52,1024.9473157192033,17.08245526198672,347.729655432754
