i,x,y,q,te,tl
2,5.51E+02,9.96E+02,1,0,100000
3,6.27E+02,9.96E+02,1,0,100000
4,7.04E+02,9.96E+02,1,0,100000
5,7.04E+02,1.05E+03,1,0,100000
6,6.27E+02,1.05E+03,1,0,100000
7,5.51E+02,1.05E+03,1,0,100000
8,8.81E+02,1.35E+03,1,0,100000
9,9.32E+02,1.35E+03,1,0,100000
10,9.58E+02,1.35E+03,1,0,100000
11,9.83E+02,1.35E+03,1,0,100000
12,1.01E+03,1.35E+03,1,0,100000
13,1.03E+03,1.35E+03,1,0,100000
14,1.31E+03,1.12E+03,1,0,100000
15,1.29E+03,1.10E+03,1,0,100000
16,1.29E+03,9.96E+02,1,0,100000
17,1.31E+03,9.96E+02,1,0,100000
18,1.47E+03,9.96E+02,1,0,100000
19,1.52E+03,9.96E+02,1,0,100000
20,1.59E+03,9.96E+02,1,0,100000
21,1.59E+03,1.10E+03,1,0,100000
22,1.52E+03,1.10E+03,1,0,100000
23,1.47E+03,1.10E+03,1,0,100000
24,1.57E+03,1.12E+03,1,0,100000
25,1.59E+03,1.15E+03,1,0,100000
26,1.57E+03,1.17E+03,1,0,100000
27,1.54E+03,1.17E+03,1,0,100000
28,1.49E+03,1.17E+03,1,0,100000
29,1.44E+03,1.17E+03,1,0,100000
30,1.47E+03,1.20E+03,1,0,100000
31,1.41E+03,1.23E+03,1,0,100000
32,1.44E+03,1.23E+03,1,0,100000
33,1.49E+03,1.23E+03,1,0,100000
34,1.52E+03,1.23E+03,1,0,100000
35,1.59E+03,1.25E+03,1,0,100000
36,1.47E+03,1.25E+03,1,0,100000
37,1.44E+03,1.25E+03,1,0,100000
38,1.39E+03,1.25E+03,1,0,100000
39,1.54E+03,1.28E+03,1,0,100000
40,1.16E+03,1.12E+03,1,0,100000
41,1.16E+03,1.23E+03,1,0,100000
42,1.26E+03,1.30E+03,1,0,100000
43,1.29E+03,1.30E+03,1,0,100000
44,1.34E+03,1.30E+03,1,0,100000
45,1.41E+03,1.30E+03,1,0,100000
46,1.49E+03,1.30E+03,1,0,100000
47,1.54E+03,1.30E+03,1,0,100000
48,1.64E+03,1.30E+03,1,0,100000
49,1.67E+03,1.33E+03,1,0,100000
50,1.62E+03,1.33E+03,1,0,100000
51,1.57E+03,1.33E+03,1,0,100000
52,1.52E+03,1.33E+03,1,0,100000
53,1.47E+03,1.33E+03,1,0,100000
54,1.41E+03,1.33E+03,1,0,100000
55,1.34E+03,1.33E+03,1,0,100000
56,1.31E+03,1.33E+03,1,0,100000
57,1.24E+03,1.33E+03,1,0,100000
58,1.24E+03,1.35E+03,1,0,100000
59,1.31E+03,1.35E+03,1,0,100000
60,1.34E+03,1.35E+03,1,0,100000
61,1.41E+03,1.35E+03,1,0,100000
62,1.47E+03,1.35E+03,1,0,100000
63,1.69E+03,1.35E+03,1,0,100000
64,1.62E+03,1.38E+03,1,0,100000
65,1.52E+03,1.38E+03,1,0,100000
66,1.41E+03,1.38E+03,1,0,100000
67,1.34E+03,1.38E+03,1,0,100000
68,1.31E+03,1.38E+03,1,0,100000
69,1.24E+03,1.38E+03,1,0,100000
70,1.36E+03,1.39E+03,1,0,100000
71,1.24E+03,1.40E+03,1,0,100000
72,1.31E+03,1.40E+03,1,0,100000
73,1.34E+03,1.40E+03,1,0,100000
74,1.41E+03,1.40E+03,1,0,100000
75,1.47E+03,1.40E+03,1,0,100000
76,1.57E+03,1.40E+03,1,0,100000
77,1.59E+03,1.40E+03,1,0,100000
78,1.62E+03,1.40E+03,1,0,100000
79,1.69E+03,1.43E+03,1,0,100000
80,1.67E+03,1.43E+03,1,0,100000
81,1.54E+03,1.43E+03,1,0,100000
82,1.44E+03,1.43E+03,1,0,100000
83,1.41E+03,1.43E+03,1,0,100000
84,1.34E+03,1.43E+03,1,0,100000
85,1.26E+03,1.43E+03,1,0,100000
86,1.24E+03,1.45E+03,1,0,100000
87,1.34E+03,1.45E+03,1,0,100000
88,1.41E+03,1.45E+03,1,0,100000
89,1.47E+03,1.45E+03,1,0,100000
90,1.49E+03,1.45E+03,1,0,100000
91,1.67E+03,1.45E+03,1,0,100000
92,1.69E+03,1.45E+03,1,0,100000
93,1.62E+03,1.48E+03,1,0,100000
94,1.59E+03,1.48E+03,1,0,100000
95,1.57E+03,1.48E+03,1,0,100000
96,1.52E+03,1.48E+03,1,0,100000
97,1.44E+03,1.48E+03,1,0,100000
98,1.41E+03,1.48E+03,1,0,100000
99,1.34E+03,1.48E+03,1,0,100000
100,1.26E+03,1.48E+03,1,0,100000
101,1.59E+03,1.50E+03,1,0,100000
102,1.62E+03,1.50E+03,1,0,100000
103,1.67E+03,1.53E+03,1,0,100000
104,1.69E+03,1.53E+03,1,0,100000
105,1.75E+03,1.53E+03,1,0,100000
106,1.82E+03,1.53E+03,1,0,100000
107,1.85E+03,1.53E+03,1,0,100000
108,1.95E+03,1.53E+03,1,0,100000
109,1.92E+03,1.56E+03,1,0,100000
110,1.90E+03,1.56E+03,1,0,100000
