in,x,y,qc,tc,te,tl
11,1990,5152,7393809,0,0,0
12,3338,5252,3289537,0,0,0
13,1629,4042,2905108,0,0,0
14,3250,4189,2649459,0,0,0
15,2234,4886,2113003,0,0,0
16,3000,5355,1688267,0,0,0
17,3637,4822,1543498,0,0,0
18,2217,4140,1497666,0,0,0
19,2919,4548,1302045,0,0,0
20,3807,5933,1239057,0,0,0
21,3158,4814,1161053,0,0,0
22,3257,5568,1096056,0,0,0
23,1375,5333,993279,0,0,0
24,3427,4085,992711,0,0,0
25,1809,5248,985858,0,0,0
26,2697,5095,966829,0,0,0
27,2435,5084,958816,0,0,0
28,2768,4508,898434,0,0,0
29,2537,4331,815086,0,0,0
30,3075,5991,787447,0,0,0
31,4372,3798,757441,0,0,0
32,1961,3948,741945,0,0,0
33,2489,5237,719518,0,0,0
34,1402,3740,704488,0,0,0
35,3336,3812,684792,0,0,0
36,2868,5012,645529,0,0,0
37,2893,4442,628840,0,0,0
38,1573,5587,609383,0,0,0
39,1911,4165,607018,0,0,0
40,2700,5147,589863,0,0,0
41,2448,5193,589077,0,0,0
42,2748,5151,588292,0,0,0
43,2919,4879,575426,0,0,0
44,4494,6017,574662,0,0,0
45,2679,5124,568314,0,0,0
46,1086,3872,558139,0,0,0
47,1558,3672,539294,0,0,0
48,2881,5308,528153,0,0,0
49,2675,5143,517661,0,0,0
50,2973,5240,516780,0,0,0
51,3201,5772,503710,0,0,0
52,3105,4945,486771,0,0,0
53,1701,5342,466629,0,0,0
54,2428,5208,444358,0,0,0
55,2483,4576,444085,0,0,0
56,2442,5122,444068,0,0,0
57,1852,5339,421807,0,0,0
58,1845,5381,420316,0,0,0
59,3374,5105,413617,0,0,0
60,3240,5135,409807,0,0,0
61,1740,5146,409310,0,0,0
62,4295,4064,407815,0,0,0
63,2145,4362,406192,0,0,0
64,1775,5348,394307,0,0,0
65,2720,5148,387603,0,0,0
66,1678,5595,380505,0,0,0
67,3134,4450,380250,0,0,0
68,3124,4378,375480,0,0,0
69,2718,5126,368589,0,0,0
70,1887,3798,366319,0,0,0
71,457,2810,365968,0,0,0
72,1707,4325,351115,0,0,0
73,2265,3957,350654,0,0,0
74,3508,3750,337834,0,0,0
75,2727,4370,334120,0,0,0
76,2854,4738,333447,0,0,0
77,3687,4112,331739,0,0,0
78,2853,5203,322016,0,0,0
79,1526,4165,319380,0,0,0
80,1887,5264,319081,0,0,0
81,1523,3788,316079,0,0,0
82,2710,5073,311761,0,0,0
83,1964,5375,309144,0,0,0
84,2847,4950,305918,0,0,0
85,1850,5242,295042,0,0,0
86,1825,5380,290384,0,0,0
87,1129,4222,287790,0,0,0
88,1952,3835,283571,0,0,0
89,1682,5148,279538,0,0,0
90,1843,4723,278840,0,0,0
91,2711,5151,278059,0,0,0
92,2840,4900,277487,0,0,0
93,3233,4543,272086,0,0,0
94,1882,5297,271387,0,0,0
95,2776,4858,270455,0,0,0
96,1433,4353,268286,0,0,0
97,1781,5301,266662,0,0,0
98,2642,5120,266426,0,0,0
99,2823,5008,266019,0,0,0
100,2762,5196,265514,0,0,0
101,1138,4115,263562,0,0,0
102,3555,3819,259033,0,0,0
103,1785,5259,258113,0,0,0
104,3099,4544,256108,0,0,0
105,3292,5083,256064,0,0,0
106,1407,5460,255118,0,0,0
107,3089,4836,252342,0,0,0
108,1584,5038,249899,0,0,0
109,3196,5148,245267,0,0,0
110,1641,3717,244899,0,0,0
111,3302,5561,243991,0,0,0
112,3051,5227,242390,0,0,0
113,1158,4333,241039,0,0,0
114,2609,5077,240251,0,0,0
115,2210,4135,238886,0,0,0
116,2655,5133,238207,0,0,0
117,2511,5210,232814,0,0,0
118,3012,5432,231702,0,0,0
119,3162,5213,229952,0,0,0
120,2387,4361,229368,0,0,0
121,1850,5292,227917,0,0,0
122,4466,6021,224423,0,0,0
123,3542,4708,223028,0,0,0
124,1902,5145,222675,0,0,0
125,2372,5104,222442,0,0,0
126,2686,5147,221902,0,0,0
127,375,2847,220744,0,0,0
128,3021,5616,219012,0,0,0
129,1733,4285,218385,0,0,0
130,1942,4484,216552,0,0,0
131,3377,4565,214511,0,0,0
132,3066,5387,213209,0,0,0
133,3187,4541,211498,0,0,0
134,1859,5091,211484,0,0,0
135,1832,4811,211033,0,0,0
136,2224,4145,209549,0,0,0
137,3724,4048,207753,0,0,0
138,2746,5137,205494,0,0,0
139,2785,4799,202977,0,0,0
140,2547,5144,201287,0,0,0
141,2445,5042,200997,0,0,0
142,1417,4335,200663,0,0,0
143,2534,6038,200550,0,0,0
144,1932,3827,199781,0,0,0
145,4376,6152,199196,0,0,0
146,1612,4032,198391,0,0,0
147,1792,5250,195932,0,0,0
148,3103,5099,195073,0,0,0
149,2948,5132,194646,0,0,0
150,2507,5157,193428,0,0,0
151,3210,5409,193319,0,0,0
152,3022,4555,192138,0,0,0
153,1835,4282,191939,0,0,0
154,2826,5000,190591,0,0,0
155,2012,4950,189687,0,0,0
156,4364,3794,189005,0,0,0
157,1790,5715,188302,0,0,0
158,1153,5190,187621,0,0,0
159,1840,5500,187241,0,0,0
160,1387,3668,186032,0,0,0
