in,x,y,q,tc,te,tl
9,74,41,7322564,0,0,0
10,118,34,3485398,0,0,0
11,88,42,2783726,0,0,0
12,95,30,1630553,0,0,0
13,75,40,1585577,0,0,0
14,117,33,1110549,0,0,0
15,83,42,1027974,0,0,0
16,97,33,1006877,0,0,0
17,112,34,983403,0,0,0
18,99,29,935933,0,0,0
19,122,37,782248,0,0,0
20,77,39,736014,0,0,0
21,86,40,731327,0,0,0
22,123,38,723959,0,0,0
23,82,30,635230,0,0,0
24,83,40,632910,0,0,0
25,88,43,628088,0,0,0
26,90,35,610337,0,0,0
27,77,39,606900,0,0,0
28,71,42,574283,0,0,0
29,122,48,516259,0,0,0
30,106,32,515342,0,0,0
31,82,41,505616,0,0,0
32,90,30,496938,0,0,0
33,87,36,488374,0,0,0
34,105,40,467610,0,0,0
35,98,30,465622,0,0,0
36,97,33,447619,0,0,0
37,98,35,444719,0,0,0
38,123,46,437319,0,0,0
39,95,39,435146,0,0,0
40,118,34,429433,0,0,0
41,111,32,405390,0,0,0
42,90,39,396685,0,0,0
43,81,35,395934,0,0,0
44,84,34,394017,0,0,0
45,76,37,393069,0,0,0
46,107,35,384736,0,0,0
47,122,38,372242,0,0,0
48,80,40,369879,0,0,0
49,121,39,369365,0,0,0
50,93,45,368383,0,0,0
51,96,36,367302,0,0,0
52,85,39,364040,0,0,0
53,80,26,358548,0,0,0
54,120,37,354202,0,0,0
55,96,41,335795,0,0,0
56,84,42,332943,0,0,0
57,79,43,328123,0,0,0
58,97,38,304011,0,0,0
59,93,45,272235,0,0,0
60,91,30,219531,0,0,0
61,79,36,207951,0,0,0
62,77,38,203056,0,0,0
63,90,32,196637,0,0,0
64,94,42,193187,0,0,0
65,97,41,191972,0,0,0
66,89,43,191262,0,0,0
67,86,32,187106,0,0,0
68,92,35,175795,0,0,0
69,71,42,160728,0,0,0
70,112,41,159936,0,0,0
71,73,42,139739,0,0,0
72,85,43,127321,0,0,0
73,116,44,125738,0,0,0
74,84,30,124773,0,0,0
75,96,39,119883,0,0,0
76,123,45,107786,0,0,0
77,90,40,105227,0,0,0
78,74,43,101082,0,0,0
79,81,34,98052,0,0,0
80,75,40,88675,0,0,0
81,82,38,57287,0,0,0
82,106,36,55859,0,0,0
83,77,40,52376,0,0,0
84,105,41,50008,0,0,0
85,101,47,49256,0,0,0
86,120,39,40443,0,0,0
87,72,43,36006,0,0,0
88,92,39,35481,0,0,0
89,123,47,33840,0,0,0
90,77,39,33187,0,0,0
91,76,39,27630,0,0,0
92,85,38,25968,0,0,0
93,112,47,24569,0,0,0
94,70,44,21325,0,0,0
95,100,44,12906,0,0,0
96,73,44,8247,0,0,0
