iv,jv,id,q,l,s,tf,td,tc,co,cf,r,w
1,1,1,9000000,10000,1,0,0,0,1,0,1,10000
2,1,1,9000000,10000,1,0,0,0,1,0,1,10000
3,1,1,9000000,10000,1,0,0,0,1,0,1,10000
1,1,2,9000000,10000,1,0,0,0,1,0,1,10000
2,1,2,9000000,10000,1,0,0,0,1,0,1,10000
3,1,2,9000000,10000,1,0,0,0,1,0,1,10000
1,1,3,9000000,10000,1,0,0,0,1,0,1,10000
2,1,3,9000000,10000,1,0,0,0,1,0,1,10000
3,1,3,9000000,10000,1,0,0,0,1,0,1,10000
1,1,4,9000000,10000,1,0,0,0,1,0,1,10000
2,1,4,9000000,10000,1,0,0,0,1,0,1,10000
3,1,4,9000000,10000,1,0,0,0,1,0,1,10000
1,1,5,9000000,10000,1,0,0,0,1,0,1,10000
2,1,5,9000000,10000,1,0,0,0,1,0,1,10000
3,1,5,9000000,10000,1,0,0,0,1,0,1,10000
1,1,6,9000000,10000,1,0,0,0,1,0,1,10000
2,1,6,9000000,10000,1,0,0,0,1,0,1,10000
3,1,6,9000000,10000,1,0,0,0,1,0,1,10000
1,1,7,9000000,10000,1,0,0,0,1,0,1,10000
2,1,7,9000000,10000,1,0,0,0,1,0,1,10000
3,1,7,9000000,10000,1,0,0,0,1,0,1,10000
1,1,8,9000000,10000,1,0,0,0,1,0,1,10000
2,1,8,9000000,10000,1,0,0,0,1,0,1,10000
3,1,8,9000000,10000,1,0,0,0,1,0,1,10000
