i,x,y,q,te,tl
2,35,17,1,0,100000
3,55,45,1,0,100000
4,55,20,1,0,100000
5,15,30,1,0,100000
6,25,30,1,0,100000
7,20,50,1,0,100000
8,10,43,1,0,100000
9,55,60,1,0,100000
10,30,60,1,0,100000
11,20,65,1,0,100000
12,50,35,1,0,100000
13,30,25,1,0,100000
14,15,10,1,0,100000
15,30,5,1,0,100000
16,10,20,1,0,100000
17,5,30,1,0,100000
18,20,40,1,0,100000
19,15,60,1,0,100000
20,45,65,1,0,100000
21,45,20,1,0,100000
22,45,10,1,0,100000
23,55,5,1,0,100000
24,65,35,1,0,100000
25,65,20,1,0,100000
26,45,30,1,0,100000
27,35,40,1,0,100000
28,41,37,1,0,100000
29,64,42,1,0,100000
30,40,60,1,0,100000
31,31,52,1,0,100000
32,35,69,1,0,100000
33,53,52,1,0,100000
34,65,55,1,0,100000
35,63,65,1,0,100000
36,2,60,1,0,100000
37,20,20,1,0,100000
38,5,5,1,0,100000
39,60,12,1,0,100000
40,40,25,1,0,100000
41,42,7,1,0,100000
42,24,12,1,0,100000
43,23,3,1,0,100000
44,11,14,1,0,100000
45,6,38,1,0,100000
46,2,48,1,0,100000
47,8,56,1,0,100000
48,13,52,1,0,100000
49,6,68,1,0,100000
50,47,47,1,0,100000
51,49,58,1,0,100000
52,27,43,1,0,100000
53,37,31,1,0,100000
54,57,29,1,0,100000
55,63,23,1,0,100000
56,53,12,1,0,100000
57,32,12,1,0,100000
58,36,26,1,0,100000
59,21,24,1,0,100000
60,17,34,1,0,100000
61,12,24,1,0,100000
62,24,58,1,0,100000
63,27,69,1,0,100000
64,15,77,1,0,100000
65,62,77,1,0,100000
66,49,73,1,0,100000
67,67,5,1,0,100000
68,56,39,1,0,100000
69,37,47,1,0,100000
70,37,56,1,0,100000
71,57,68,1,0,100000
72,47,16,1,0,100000
73,44,17,1,0,100000
74,46,13,1,0,100000
75,49,11,1,0,100000
76,49,42,1,0,100000
77,53,43,1,0,100000
78,61,52,1,0,100000
79,57,48,1,0,100000
80,56,37,1,0,100000
81,55,54,1,0,100000
82,15,47,1,0,100000
83,14,37,1,0,100000
84,11,31,1,0,100000
85,16,22,1,0,100000
86,4,18,1,0,100000
87,28,18,1,0,100000
88,26,52,1,0,100000
89,26,35,1,0,100000
90,31,67,1,0,100000
91,15,19,1,0,100000
92,22,22,1,0,100000
93,18,24,1,0,100000
94,26,27,1,0,100000
95,25,24,1,0,100000
96,22,27,1,0,100000
97,25,21,1,0,100000
98,19,21,1,0,100000
99,20,26,1,0,100000
100,18,18,1,0,100000
101,35,35,1,0,100000
