in,x,y,qc,tc,tr,te,tl
6,20,20,25,0,0,0,0
7,20,30,25,0,0,0,0
8,20,40,25,0,0,0,0
9,20,50,25,0,0,0,0
10,20,60,25,0,0,0,0
11,20,70,25,0,0,0,0
12,30,20,25,0,0,0,0
13,30,30,25,0,0,0,0
14,30,40,25,0,0,0,0
15,30,50,25,0,0,0,0
16,30,60,25,0,0,0,0
17,30,70,25,0,0,0,0
18,40,20,25,0,0,0,0
19,40,30,25,0,0,0,0
20,40,40,25,0,0,0,0
21,40,50,25,0,0,0,0
22,40,60,25,0,0,0,0
23,40,70,25,0,0,0,0
24,50,20,25,0,0,0,0
25,50,30,25,0,0,0,0
26,50,40,25,0,0,0,0
27,50,50,25,0,0,0,0
28,50,60,25,0,0,0,0
29,50,70,25,0,0,0,0
30,60,20,25,0,0,0,0
31,60,30,25,0,0,0,0
32,60,40,25,0,0,0,0
33,60,50,25,0,0,0,0
34,60,60,25,0,0,0,0
35,60,70,25,0,0,0,0
36,70,20,25,0,0,0,0
37,70,30,25,0,0,0,0
38,70,40,25,0,0,0,0
39,70,50,25,0,0,0,0
40,70,60,25,0,0,0,0
41,70,70,25,0,0,0,0
