in,x,y,q,tc,te,tl
2,45,68,10,0,0,0
3,45,70,30,0,0,0
4,42,66,10,0,0,0
5,42,68,10,0,0,0
6,42,65,10,0,0,0
7,40,69,20,0,0,0
8,40,66,20,0,0,0
9,38,68,20,0,0,0
10,38,70,10,0,0,0
11,35,66,10,0,0,0
12,35,69,10,0,0,0
13,25,85,20,0,0,0
14,22,75,30,0,0,0
15,22,85,10,0,0,0
16,20,80,40,0,0,0
17,20,85,40,0,0,0
18,18,75,20,0,0,0
19,15,75,20,0,0,0
20,15,80,10,0,0,0
21,30,50,10,0,0,0
22,30,52,20,0,0,0
23,28,52,20,0,0,0
24,28,55,10,0,0,0
25,25,50,10,0,0,0
26,25,52,40,0,0,0
27,25,55,10,0,0,0
28,23,52,10,0,0,0
29,23,55,20,0,0,0
30,20,50,10,0,0,0
31,20,55,10,0,0,0
32,10,35,20,0,0,0
33,10,40,30,0,0,0
34,8,40,40,0,0,0
35,8,45,20,0,0,0
36,5,35,10,0,0,0
37,5,45,10,0,0,0
38,2,40,20,0,0,0
39,0,40,30,0,0,0
40,0,45,20,0,0,0
41,35,30,10,0,0,0
42,35,32,10,0,0,0
43,33,32,20,0,0,0
44,33,35,10,0,0,0
45,32,30,10,0,0,0
46,30,30,10,0,0,0
47,30,32,30,0,0,0
48,30,35,10,0,0,0
49,28,30,10,0,0,0
50,28,35,10,0,0,0
51,26,32,10,0,0,0
52,25,30,10,0,0,0
53,25,35,10,0,0,0
54,44,5,20,0,0,0
55,42,10,40,0,0,0
56,42,15,10,0,0,0
57,40,5,30,0,0,0
58,40,15,40,0,0,0
59,38,5,30,0,0,0
60,38,15,10,0,0,0
61,35,5,20,0,0,0
62,50,30,10,0,0,0
63,50,35,20,0,0,0
64,50,40,50,0,0,0
65,48,30,10,0,0,0
66,48,40,10,0,0,0
67,47,35,10,0,0,0
68,47,40,10,0,0,0
69,45,30,10,0,0,0
70,45,35,10,0,0,0
71,95,30,30,0,0,0
72,95,35,20,0,0,0
73,53,30,10,0,0,0
74,92,30,10,0,0,0
75,53,35,50,0,0,0
76,45,65,20,0,0,0
77,90,35,10,0,0,0
78,88,30,10,0,0,0
79,88,35,20,0,0,0
80,87,30,10,0,0,0
81,85,25,10,0,0,0
82,85,35,30,0,0,0
83,75,55,20,0,0,0
84,72,55,10,0,0,0
85,70,58,20,0,0,0
86,68,60,30,0,0,0
87,66,55,10,0,0,0
88,65,55,20,0,0,0
89,65,60,30,0,0,0
90,63,58,10,0,0,0
91,60,55,10,0,0,0
92,60,60,10,0,0,0
93,67,85,20,0,0,0
94,65,85,40,0,0,0
95,65,82,10,0,0,0
96,62,80,30,0,0,0
97,60,80,10,0,0,0
98,60,85,30,0,0,0
99,58,75,20,0,0,0
100,55,80,10,0,0,0
101,55,85,20,0,0,0
