iv,jv,id,q,l,s,tf,td,tc,co,cf,r,w
1,1,1,850,10000,1,0,0,0,1,0,1,0
2,1,1,850,10000,1,0,0,0,1,0,1,0
3,1,1,850,10000,1,0,0,0,1,0,1,0
4,1,1,850,10000,1,0,0,0,1,0,1,0
1,1,2,850,10000,1,0,0,0,1,0,1,0
2,1,2,850,10000,1,0,0,0,1,0,1,0
3,1,2,850,10000,1,0,0,0,1,0,1,0
4,1,2,850,10000,1,0,0,0,1,0,1,0
1,1,3,850,10000,1,0,0,0,1,0,1,0
2,1,3,850,10000,1,0,0,0,1,0,1,0
3,1,3,850,10000,1,0,0,0,1,0,1,0
4,1,3,850,10000,1,0,0,0,1,0,1,0
1,1,4,850,10000,1,0,0,0,1,0,1,0
2,1,4,850,10000,1,0,0,0,1,0,1,0
3,1,4,850,10000,1,0,0,0,1,0,1,0
4,1,4,850,10000,1,0,0,0,1,0,1,0
1,1,5,850,10000,1,0,0,0,1,0,1,0
2,1,5,850,10000,1,0,0,0,1,0,1,0
3,1,5,850,10000,1,0,0,0,1,0,1,0
4,1,5,850,10000,1,0,0,0,1,0,1,0
1,1,6,850,10000,1,0,0,0,1,0,1,0
2,1,6,850,10000,1,0,0,0,1,0,1,0
3,1,6,850,10000,1,0,0,0,1,0,1,0
4,1,6,850,10000,1,0,0,0,1,0,1,0
1,1,7,850,10000,1,0,0,0,1,0,1,0
2,1,7,850,10000,1,0,0,0,1,0,1,0
3,1,7,850,10000,1,0,0,0,1,0,1,0
4,1,7,850,10000,1,0,0,0,1,0,1,0
1,1,8,850,10000,1,0,0,0,1,0,1,0
2,1,8,850,10000,1,0,0,0,1,0,1,0
3,1,8,850,10000,1,0,0,0,1,0,1,0
4,1,8,850,10000,1,0,0,0,1,0,1,0
