in,x,y,qc,tc,tr,te,tl
11,21,13,16,0,0,0,0
12,12,24,18,0,0,0,0
13,12,25,15,0,0,0,0
14,25,25,19,0,0,0,0
15,24,7,14,0,0,0,0
16,25,12,18,0,0,0,0
17,3,21,13,0,0,0,0
18,12,1,11,0,0,0,0
19,9,6,13,0,0,0,0
20,16,8,13,0,0,0,0
21,24,9,16,0,0,0,0
22,14,8,13,0,0,0,0
23,5,21,18,0,0,0,0
24,19,17,19,0,0,0,0
25,25,8,16,0,0,0,0
26,11,15,20,0,0,0,0
27,20,5,20,0,0,0,0
28,19,13,15,0,0,0,0
29,25,10,15,0,0,0,0
30,3,23,17,0,0,0,0
31,2,8,17,0,0,0,0
32,1,3,18,0,0,0,0
33,19,6,17,0,0,0,0
34,3,14,15,0,0,0,0
35,24,21,11,0,0,0,0
36,1,24,13,0,0,0,0
37,15,6,15,0,0,0,0
38,20,27,11,0,0,0,0
39,26,2,18,0,0,0,0
40,9,16,13,0,0,0,0
41,23,16,17,0,0,0,0
42,6,20,20,0,0,0,0
43,20,2,11,0,0,0,0
44,4,19,12,0,0,0,0
45,22,8,19,0,0,0,0
46,3,12,16,0,0,0,0
47,25,8,18,0,0,0,0
48,12,26,16,0,0,0,0
49,4,17,17,0,0,0,0
50,21,16,16,0,0,0,0
51,22,11,12,0,0,0,0
52,21,24,14,0,0,0,0
53,7,5,18,0,0,0,0
54,3,8,20,0,0,0,0
55,22,4,16,0,0,0,0
56,24,14,16,0,0,0,0
57,4,24,15,0,0,0,0
58,25,14,12,0,0,0,0
59,1,28,19,0,0,0,0
60,12,9,11,0,0,0,0
61,43,48,11,0,0,0,0
62,34,24,12,0,0,0,0
63,27,25,15,0,0,0,0
64,48,26,14,0,0,0,0
65,25,32,13,0,0,0,0
66,34,48,12,0,0,0,0
67,27,33,12,0,0,0,0
68,45,24,12,0,0,0,0
69,45,26,12,0,0,0,0
70,28,44,13,0,0,0,0
71,38,42,19,0,0,0,0
72,42,26,14,0,0,0,0
73,25,41,15,0,0,0,0
74,28,33,15,0,0,0,0
75,36,33,14,0,0,0,0
76,38,28,16,0,0,0,0
77,39,45,13,0,0,0,0
78,42,31,11,0,0,0,0
79,43,28,19,0,0,0,0
80,29,43,20,0,0,0,0
81,29,26,19,0,0,0,0
82,29,42,19,0,0,0,0
83,38,34,18,0,0,0,0
84,46,28,11,0,0,0,0
85,30,24,18,0,0,0,0
86,50,30,13,0,0,0,0
87,44,26,19,0,0,0,0
88,45,49,16,0,0,0,0
89,49,43,19,0,0,0,0
90,50,27,11,0,0,0,0
91,43,33,11,0,0,0,0
92,29,49,15,0,0,0,0
93,40,37,15,0,0,0,0
94,36,31,16,0,0,0,0
95,46,45,17,0,0,0,0
96,49,46,11,0,0,0,0
97,45,41,13,0,0,0,0
98,28,36,17,0,0,0,0
99,43,50,20,0,0,0,0
100,45,48,17,0,0,0,0
101,48,27,18,0,0,0,0
102,33,24,20,0,0,0,0
103,48,33,20,0,0,0,0
104,39,38,18,0,0,0,0
105,45,49,13,0,0,0,0
106,27,26,20,0,0,0,0
107,33,44,14,0,0,0,0
108,33,29,11,0,0,0,0
109,32,46,12,0,0,0,0
110,40,35,11,0,0,0,0
