iv,jv,id,q,l,s,tf,td,tc,tw,r,cd,ct,cf
1,1,1,70,10000,1,0,0,0,0,1,100,0,1000
2,1,1,70,10000,1,0,0,0,0,1,100,0,1000
3,1,1,70,10000,1,0,0,0,0,1,100,0,1000
4,1,1,70,10000,1,0,0,0,0,1,100,0,1000
5,1,1,70,10000,1,0,0,0,0,1,100,0,1000
6,1,1,70,10000,1,0,0,0,0,1,100,0,1000
7,1,1,70,10000,1,0,0,0,0,1,100,0,1000
8,1,1,70,10000,1,0,0,0,0,1,100,0,1000
9,1,1,70,10000,1,0,0,0,0,1,100,0,1000
10,1,1,70,10000,1,0,0,0,0,1,100,0,1000
1,1,2,70,10000,1,0,0,0,0,1,100,0,1000
2,1,2,70,10000,1,0,0,0,0,1,100,0,1000
3,1,2,70,10000,1,0,0,0,0,1,100,0,1000
4,1,2,70,10000,1,0,0,0,0,1,100,0,1000
5,1,2,70,10000,1,0,0,0,0,1,100,0,1000
6,1,2,70,10000,1,0,0,0,0,1,100,0,1000
7,1,2,70,10000,1,0,0,0,0,1,100,0,1000
8,1,2,70,10000,1,0,0,0,0,1,100,0,1000
9,1,2,70,10000,1,0,0,0,0,1,100,0,1000
10,1,2,70,10000,1,0,0,0,0,1,100,0,1000
11,1,2,70,10000,1,0,0,0,0,1,100,0,1000
1,1,3,70,10000,1,0,0,0,0,1,100,0,1000
2,1,3,70,10000,1,0,0,0,0,1,100,0,1000
3,1,3,70,10000,1,0,0,0,0,1,100,0,1000
4,1,3,70,10000,1,0,0,0,0,1,100,0,1000
5,1,3,70,10000,1,0,0,0,0,1,100,0,1000
6,1,3,70,10000,1,0,0,0,0,1,100,0,1000
7,1,3,70,10000,1,0,0,0,0,1,100,0,1000
8,1,3,70,10000,1,0,0,0,0,1,100,0,1000
9,1,3,70,10000,1,0,0,0,0,1,100,0,1000
10,1,3,70,10000,1,0,0,0,0,1,100,0,1000
11,1,3,70,10000,1,0,0,0,0,1,100,0,1000
1,1,4,70,10000,1,0,0,0,0,1,100,0,1000
2,1,4,70,10000,1,0,0,0,0,1,100,0,1000
3,1,4,70,10000,1,0,0,0,0,1,100,0,1000
4,1,4,70,10000,1,0,0,0,0,1,100,0,1000
5,1,4,70,10000,1,0,0,0,0,1,100,0,1000
6,1,4,70,10000,1,0,0,0,0,1,100,0,1000
7,1,4,70,10000,1,0,0,0,0,1,100,0,1000
8,1,4,70,10000,1,0,0,0,0,1,100,0,1000
9,1,4,70,10000,1,0,0,0,0,1,100,0,1000
10,1,4,70,10000,1,0,0,0,0,1,100,0,1000
11,1,4,70,10000,1,0,0,0,0,1,100,0,1000
1,1,5,70,10000,1,0,0,0,0,1,100,0,1000
2,1,5,70,10000,1,0,0,0,0,1,100,0,1000
3,1,5,70,10000,1,0,0,0,0,1,100,0,1000
4,1,5,70,10000,1,0,0,0,0,1,100,0,1000
5,1,5,70,10000,1,0,0,0,0,1,100,0,1000
6,1,5,70,10000,1,0,0,0,0,1,100,0,1000
7,1,5,70,10000,1,0,0,0,0,1,100,0,1000
8,1,5,70,10000,1,0,0,0,0,1,100,0,1000
9,1,5,70,10000,1,0,0,0,0,1,100,0,1000
10,1,5,70,10000,1,0,0,0,0,1,100,0,1000
11,1,5,70,10000,1,0,0,0,0,1,100,0,1000
12,1,5,70,10000,1,0,0,0,0,1,100,0,1000
