in,x,y,qc,tc,tr,te,tl
11,7,11,11,0,0,0,0
12,18,14,11,0,0,0,0
13,24,15,13,0,0,0,0
14,5,5,20,0,0,0,0
15,4,11,16,0,0,0,0
16,2,18,12,0,0,0,0
17,11,8,11,0,0,0,0
18,12,3,19,0,0,0,0
19,21,19,12,0,0,0,0
20,14,9,18,0,0,0,0
21,25,17,12,0,0,0,0
22,25,16,15,0,0,0,0
23,11,19,19,0,0,0,0
24,12,4,15,0,0,0,0
25,21,16,15,0,0,0,0
26,12,2,18,0,0,0,0
27,23,17,19,0,0,0,0
28,20,18,12,0,0,0,0
29,18,20,19,0,0,0,0
30,20,7,11,0,0,0,0
31,8,6,18,0,0,0,0
32,5,8,16,0,0,0,0
33,9,18,13,0,0,0,0
34,20,2,20,0,0,0,0
35,12,3,13,0,0,0,0
36,22,17,15,0,0,0,0
37,12,8,16,0,0,0,0
38,3,16,18,0,0,0,0
39,12,6,16,0,0,0,0
40,24,1,14,0,0,0,0
41,16,18,11,0,0,0,0
42,4,12,14,0,0,0,0
43,13,15,11,0,0,0,0
44,16,13,18,0,0,0,0
45,9,2,11,0,0,0,0
46,2,7,15,0,0,0,0
47,17,11,17,0,0,0,0
48,16,16,14,0,0,0,0
49,6,11,20,0,0,0,0
50,7,14,17,0,0,0,0
51,1,5,17,0,0,0,0
52,17,12,18,0,0,0,0
53,8,11,17,0,0,0,0
54,12,4,11,0,0,0,0
55,19,3,13,0,0,0,0
56,7,6,18,0,0,0,0
57,13,18,11,0,0,0,0
58,7,17,19,0,0,0,0
59,8,17,20,0,0,0,0
60,8,14,16,0,0,0,0
61,7,5,19,0,0,0,0
62,21,2,15,0,0,0,0
63,21,14,13,0,0,0,0
64,7,10,16,0,0,0,0
65,25,18,16,0,0,0,0
66,14,5,20,0,0,0,0
67,21,13,13,0,0,0,0
68,22,5,15,0,0,0,0
69,6,8,16,0,0,0,0
70,19,2,20,0,0,0,0
71,11,5,17,0,0,0,0
72,14,16,14,0,0,0,0
73,7,18,11,0,0,0,0
74,25,16,13,0,0,0,0
75,15,9,14,0,0,0,0
76,14,38,15,0,0,0,0
77,12,41,11,0,0,0,0
78,20,47,16,0,0,0,0
79,14,43,11,0,0,0,0
80,13,46,15,0,0,0,0
81,6,38,15,0,0,0,0
82,4,35,14,0,0,0,0
83,6,35,13,0,0,0,0
84,20,30,14,0,0,0,0
85,14,34,11,0,0,0,0
86,18,45,20,0,0,0,0
87,22,45,13,0,0,0,0
88,9,31,14,0,0,0,0
89,6,48,19,0,0,0,0
90,8,42,16,0,0,0,0
91,23,34,12,0,0,0,0
92,8,50,16,0,0,0,0
93,15,37,17,0,0,0,0
94,13,30,14,0,0,0,0
95,20,31,20,0,0,0,0
96,2,43,14,0,0,0,0
97,3,48,16,0,0,0,0
98,14,47,12,0,0,0,0
99,21,45,13,0,0,0,0
100,5,31,15,0,0,0,0
101,7,34,13,0,0,0,0
102,20,46,14,0,0,0,0
