in,x,y,qc,tc,te,tl
6,28,23,19,0,0,0
7,33,5,17,0,0,0
8,45,13,19,0,0,0
9,14,3,18,0,0,0
10,50,32,14,0,0,0
11,17,45,19,0,0,0
12,1,22,20,0,0,0
13,39,36,13,0,0,0
14,8,8,11,0,0,0
15,17,9,16,0,0,0
16,21,18,17,0,0,0
17,22,16,16,0,0,0
18,17,39,11,0,0,0
19,42,6,14,0,0,0
20,21,5,13,0,0,0
21,38,2,12,0,0,0
22,39,17,16,0,0,0
23,21,38,12,0,0,0
24,31,6,13,0,0,0
25,40,33,20,0,0,0
26,26,26,16,0,0,0
27,40,48,16,0,0,0
28,33,42,16,0,0,0
29,14,50,13,0,0,0
30,11,10,20,0,0,0
31,24,5,16,0,0,0
32,7,44,11,0,0,0
33,49,42,16,0,0,0
34,8,31,12,0,0,0
35,40,24,14,0,0,0
36,35,44,13,0,0,0
37,7,30,17,0,0,0
38,16,48,19,0,0,0
39,40,10,11,0,0,0
40,10,3,11,0,0,0
41,7,31,19,0,0,0
42,33,29,11,0,0,0
43,25,34,15,0,0,0
44,49,9,14,0,0,0
45,5,48,14,0,0,0
46,23,3,18,0,0,0
47,3,49,12,0,0,0
48,15,18,16,0,0,0
49,38,50,17,0,0,0
50,42,31,11,0,0,0
51,12,23,18,0,0,0
52,47,22,14,0,0,0
53,24,24,16,0,0,0
54,14,17,15,0,0,0
55,44,20,15,0,0,0
