iv,jv,id,q,l,s,tf,td,tc,tw,r,co,cf
1,1,1,150,10000,1,0,0,0,0,1,100,1000
2,1,1,150,10000,1,0,0,0,0,1,100,1000
3,1,1,150,10000,1,0,0,0,0,1,100,1000
1,1,2,150,10000,1,0,0,0,0,1,100,1000
2,1,2,150,10000,1,0,0,0,0,1,100,1000
3,1,2,150,10000,1,0,0,0,0,1,100,1000
1,1,3,150,10000,1,0,0,0,0,1,100,1000
2,1,3,150,10000,1,0,0,0,0,1,100,1000
3,1,3,150,10000,1,0,0,0,0,1,100,1000
1,1,4,150,10000,1,0,0,0,0,1,100,1000
2,1,4,150,10000,1,0,0,0,0,1,100,1000
3,1,4,150,10000,1,0,0,0,0,1,100,1000
1,1,5,150,10000,1,0,0,0,0,1,100,1000
2,1,5,150,10000,1,0,0,0,0,1,100,1000
3,1,5,150,10000,1,0,0,0,0,1,100,1000
