in,x,y,qc,tc,tr,te,tl
2,41,49,10,10,0,707,848
3,35,17,7,10,0,143,282
4,55,45,13,10,0,527,584
5,55,20,19,10,0,678,801
6,15,30,26,10,0,34,209
7,25,30,3,10,0,415,514
8,20,50,5,10,0,331,410
9,10,43,9,10,0,404,481
10,55,60,16,10,0,400,497
11,30,60,16,10,0,577,632
12,20,65,12,10,0,206,325
13,50,35,19,10,0,228,345
14,30,25,23,10,0,690,827
15,15,10,20,10,0,32,243
16,30,5,8,10,0,175,300
17,10,20,19,10,0,272,373
18,5,30,2,10,0,733,870
19,20,40,12,10,0,377,434
20,15,60,17,10,0,269,378
21,45,65,9,10,0,581,666
22,45,20,11,10,0,214,331
23,45,10,18,10,0,409,494
24,55,5,29,10,0,206,325
25,65,35,3,10,0,704,847
26,65,20,6,10,0,817,956
27,45,30,17,10,0,588,667
28,35,40,16,10,0,104,255
29,41,37,16,10,0,114,255
30,64,42,9,10,0,190,313
31,40,60,21,10,0,259,354
32,31,52,27,10,0,152,275
33,35,69,23,10,0,660,777
34,53,52,11,10,0,45,200
35,65,55,14,10,0,529,614
36,63,65,8,10,0,686,813
37,2,60,5,10,0,41,208
38,20,20,8,10,0,606,693
39,5,5,16,10,0,302,405
40,60,12,31,10,0,33,224
41,40,25,9,10,0,360,437
42,42,7,5,10,0,396,511
43,24,12,5,10,0,25,172
44,23,3,7,10,0,620,705
45,11,14,18,10,0,233,340
46,6,38,16,10,0,29,189
47,2,48,1,10,0,515,628
48,8,56,27,10,0,85,250
49,13,52,36,10,0,773,906
50,6,68,30,10,0,501,540
51,47,47,13,10,0,547,642
52,49,58,10,10,0,348,453
53,27,43,9,10,0,174,299
54,37,31,14,10,0,414,489
55,57,29,18,10,0,641,734
56,63,23,2,10,0,620,739
57,53,12,6,10,0,585,692
58,32,12,7,10,0,421,530
59,36,26,18,10,0,849,980
60,21,24,28,10,0,17,229
61,17,34,3,10,0,721,862
62,12,24,13,10,0,290,377
63,24,58,19,10,0,163,302
64,27,69,10,10,0,34,191
65,15,77,9,10,0,214,333
66,62,77,20,10,0,49,188
67,49,73,25,10,0,592,693
68,67,5,25,10,0,294,401
69,56,39,36,10,0,637,752
70,37,47,6,10,0,162,293
71,37,56,5,10,0,788,968
72,57,68,15,10,0,268,367
73,47,16,25,10,0,31,208
74,44,17,9,10,0,308,399
75,46,13,8,10,0,681,802
76,49,11,18,10,0,236,345
77,49,42,13,10,0,290,373
78,53,43,14,10,0,817,952
79,61,52,3,10,0,384,499
80,57,48,23,10,0,388,465
81,56,37,6,10,0,839,968
82,55,54,26,10,0,411,456
83,15,47,16,10,0,162,289
84,14,37,11,10,0,96,249
85,11,31,7,10,0,436,511
86,16,22,41,10,0,376,461
87,4,18,35,10,0,388,465
88,28,18,26,10,0,420,447
89,26,52,9,10,0,279,388
90,26,35,15,10,0,755,920
91,31,67,3,10,0,392,487
92,15,19,1,10,0,739,866
93,22,22,2,10,0,18,181
94,18,24,22,10,0,811,969
95,26,27,27,10,0,436,503
96,25,24,20,10,0,92,231
97,22,27,11,10,0,607,690
98,25,21,12,10,0,612,673
99,19,21,10,10,0,183,306
100,20,26,9,10,0,333,432
101,18,18,17,10,0,798,965
