in,x,y,q,te,tl
6,3.27,0.02,1,0,0
7,4.97,0.63,1,0,0
8,4.58,4.12,1,0,0
9,3.65,2.42,1,0,0
10,4.68,2.1,1,0,0
11,1.1,4.51,1,0,0
12,3.43,3.52,1,0,0
13,1.87,4.45,1,0,0
14,3.71,3.91,1,0,0
15,1.37,1.55,1,0,0
16,4.44,2.81,1,0,0
17,3.19,0.63,1,0,0
18,3.94,1.52,1,0,0
19,0.75,1.48,1,0,0
20,4.6,4.89,1,0,0
21,0.7,0.01,1,0,0
22,3.08,3.39,1,0,0
23,0.02,1.68,1,0,0
24,0.34,2.04,1,0,0
25,2.99,4.42,1,0,0
26,4.38,3,1,0,0
27,3.35,0.12,1,0,0
28,3.35,2.96,1,0,0
29,4.06,0.99,1,0,0
30,3.74,1.09,1,0,0
31,-1.13,3.39,1,0,0
32,-0.87,0.81,1,0,0
33,-3.23,4.08,1,0,0
34,-2.25,2.37,1,0,0
35,-4.26,0.94,1,0,0
36,-4.01,4.94,1,0,0
37,-4.33,0.34,1,0,0
38,-2.87,2.81,1,0,0
39,-1.64,1.71,1,0,0
40,-3.1,2.67,1,0,0
41,-3.63,4.32,1,0,0
42,-1.71,3.41,1,0,0
43,-2.81,4.06,1,0,0
44,-3.04,1.84,1,0,0
45,-3.01,1.91,1,0,0
46,-1.93,0.86,1,0,0
47,-3.11,0.72,1,0,0
48,-4.45,1.84,1,0,0
49,-3.94,2.03,1,0,0
50,-4.96,0.05,1,0,0
51,-0.35,1.46,1,0,0
52,-4.13,2.2,1,0,0
53,-0.48,4.35,1,0,0
54,-0.77,0.02,1,0,0
55,-1.6,0.2,1,0,0
56,-3.73,-0.71,1,0,0
57,-3.95,-1.23,1,0,0
58,-2.85,-1.77,1,0,0
59,-4.46,-3.33,1,0,0
60,-3.22,-2.44,1,0,0
61,-2.75,-3.14,1,0,0
62,-1.35,-1.65,1,0,0
63,-2.49,-4.89,1,0,0
64,-2.71,-3.75,1,0,0
65,-4.41,-0.93,1,0,0
66,-4.5,-3.18,1,0,0
67,-4.95,-1.08,1,0,0
68,-2.89,-3.74,1,0,0
69,-4.22,-0.74,1,0,0
70,-1.17,-4.94,1,0,0
71,-2.98,-0.85,1,0,0
72,-2.96,-2.73,1,0,0
73,-2.28,-0.45,1,0,0
74,-3.26,-1.6,1,0,0
75,-0.81,-4.08,1,0,0
76,-0.52,-4.69,1,0,0
77,-3.57,-3.74,1,0,0
78,-3.63,-1.12,1,0,0
79,-4.06,-2.42,1,0,0
80,-4.07,-3.82,1,0,0
81,2.34,-2.3,1,0,0
82,2.89,-2.34,1,0,0
83,1.8,-0.14,1,0,0
84,2.85,-4.05,1,0,0
85,1.57,-0.91,1,0,0
86,3.03,-4.5,1,0,0
87,2.74,-3.3,1,0,0
88,1.12,-3.29,1,0,0
89,3.02,-3.25,1,0,0
90,1.88,-2.14,1,0,0
91,4.48,-3.19,1,0,0
92,3.46,-1.84,1,0,0
93,4.84,-1.73,1,0,0
94,4.6,-3.19,1,0,0
95,0.14,-1.27,1,0,0
96,1.04,-2,1,0,0
97,4.29,-4,1,0,0
98,0.71,-0.97,1,0,0
99,1.58,-3.17,1,0,0
100,1.61,-0.33,1,0,0
101,0.23,-4,1,0,0
102,2.38,-4.31,1,0,0
103,3.46,-4.49,1,0,0
104,1.18,-3.03,1,0,0
105,0.49,-0.13,1,0,0
