in,x,y,qc,tc,tr,te,tl
2,25,85,20,10,0,145,175
3,22,75,30,10,0,50,80
4,22,85,10,10,0,109,139
5,20,80,40,10,0,141,171
6,20,85,20,10,0,41,71
7,18,75,20,10,0,95,125
8,15,75,20,10,0,79,109
9,15,80,10,10,0,91,121
10,10,35,20,10,0,91,121
11,10,40,30,10,0,119,149
12,8,40,40,10,0,59,89
13,8,45,20,10,0,64,94
14,5,35,10,10,0,142,172
15,5,45,10,10,0,35,65
16,2,40,20,10,0,58,88
17,0,40,20,10,0,72,102
18,0,45,20,10,0,149,179
19,44,5,20,10,0,87,117
20,42,10,40,10,0,72,102
21,42,15,10,10,0,122,152
22,40,5,10,10,0,67,97
23,40,15,40,10,0,92,122
24,38,5,30,10,0,65,95
25,38,15,10,10,0,148,178
26,35,5,20,10,0,154,184
27,95,30,30,10,0,115,145
28,95,35,20,10,0,62,92
29,92,30,10,10,0,62,92
30,90,35,10,10,0,67,97
31,88,30,10,10,0,74,104
32,88,35,20,10,0,61,91
33,87,30,10,10,0,131,161
34,85,25,10,10,0,51,81
35,85,35,30,10,0,111,141
36,67,85,20,10,0,139,169
37,65,85,40,10,0,43,73
38,65,82,10,10,0,124,154
39,62,80,30,10,0,75,105
40,60,80,10,10,0,37,67
41,60,85,30,10,0,85,115
42,58,75,20,10,0,92,122
43,55,80,10,10,0,33,63
44,55,85,20,10,0,128,158
45,55,82,10,10,0,64,94
46,20,82,10,10,0,37,67
47,18,80,10,10,0,113,143
48,2,45,10,10,0,45,75
49,42,5,10,10,0,151,181
50,42,12,10,10,0,104,134
51,72,35,30,10,0,116,146
52,55,20,19,10,0,83,113
53,25,30,3,10,0,52,82
54,20,50,5,10,0,91,121
55,55,60,16,10,0,139,169
56,30,60,16,10,0,140,170
57,50,35,19,10,0,130,160
58,30,25,23,10,0,96,126
59,15,10,20,10,0,152,182
60,10,20,19,10,0,42,72
61,15,60,17,10,0,155,185
62,45,65,9,10,0,66,96
63,65,35,3,10,0,52,82
64,65,20,6,10,0,39,69
65,45,30,17,10,0,53,83
66,35,40,16,10,0,11,41
67,41,37,16,10,0,133,163
68,64,42,9,10,0,70,100
69,40,60,21,10,0,144,174
70,31,52,27,10,0,41,71
71,35,69,23,10,0,180,210
72,65,55,14,10,0,65,95
73,63,65,8,10,0,30,60
74,2,60,5,10,0,77,107
75,20,20,8,10,0,141,171
76,5,5,16,10,0,74,104
77,60,12,31,10,0,75,105
78,23,3,7,10,0,150,180
79,8,56,27,10,0,90,120
80,6,68,30,10,0,89,119
81,47,47,13,10,0,192,222
82,49,58,10,10,0,86,116
83,27,43,9,10,0,42,72
84,37,31,14,10,0,35,65
85,57,29,18,10,0,96,126
86,63,23,2,10,0,87,117
87,21,24,28,10,0,87,117
88,12,24,13,10,0,90,120
89,24,58,19,10,0,67,97
90,67,5,25,10,0,144,174
91,37,47,6,10,0,86,116
92,49,42,13,10,0,167,197
93,53,43,14,10,0,14,44
94,61,52,3,10,0,178,208
95,57,48,23,10,0,95,125
96,56,37,6,10,0,34,64
97,55,54,26,10,0,132,162
98,4,18,35,10,0,120,150
99,26,52,9,10,0,46,76
100,26,35,15,10,0,77,107
101,31,67,3,10,0,180,210
