in,x,y,q,te,tl
2,0.222,1.438,3,9,12
3,0.481,1.259,3,12,15
4,0.611,1.495,3,15,18
5,0.651,1.481,3,9,12
6,1.077,1.503,3,12,15
7,0.845,1.477,3,15,18
8,1.218,1.754,3,9,12
9,1.052,1.701,3,12,15
10,0.992,1.876,3,15,18
11,1.003,2.077,3,9,12
12,0.771,1.986,3,12,15
13,0.799,2.012,3,15,18
14,0.075,1.494,3,9,12
15,-0.349,1.68,3,12,15
16,-0.503,1.58,3,15,18
17,-0.442,1.824,3,9,12
18,-0.562,1.513,3,12,15
19,1.131,2.204,3,15,18
20,0.136,1.935,3,9,12
21,-0.545,2.063,3,12,15
22,0.292,2.104,3,15,18
23,1.245,2.271,3,9,12
24,1.166,2.412,3,12,15
25,0.748,2.587,3,15,18
26,0.554,2.52,3,9,12
27,-0.302,2.471,3,12,15
28,-0.417,2.419,3,15,18
29,-0.218,2.214,3,9,12
30,0.138,2.609,3,12,15
31,0.724,2.857,3,15,18
32,0.337,2.902,3,9,12
33,0.388,3.12,3,12,15
34,0.128,2.917,3,15,18
35,0.13,3.217,3,9,12
36,1.787,2.285,3,12,15
37,1.899,2.296,3,15,18
38,1.484,2.322,3,9,12
39,2.254,2.642,3,12,15
40,2.71,2.633,3,15,18
41,2.038,2.834,3,9,12
42,1.694,2.625,3,12,15
43,1.823,2.612,3,15,18
44,1.581,2.564,3,9,12
45,1.441,2.542,3,12,15
46,1.347,2.779,3,15,18
47,1.613,2.93,3,9,12
48,1.618,2.906,3,12,15
49,1.342,2.989,3,15,18
50,1.656,2.928,3,9,12
51,1.953,3.165,3,12,15
52,1.949,3.165,3,15,18
53,1.909,3.17,3,9,12
54,2.165,3.173,3,12,15
55,4.718,-1.845,3,15,18
56,1.801,-2.24,3,9,12
57,1.824,1.943,3,12,15
58,1.826,1.941,3,15,18
59,1.905,2.173,3,9,12
60,2.493,3.004,3,12,15
61,2.255,3.249,3,15,18
62,1.709,3.239,3,9,12
63,1.682,3.322,3,12,15
64,1.753,3.26,3,15,18
65,1.295,3.6,3,9,12
66,1.839,3.865,3,12,15
67,1.752,3.82,3,15,18
68,2.941,-0.11,3,9,12
