i,x,y,q
2,363,779,5
3,245,896,7
4,238,19,5
5,184,351,8
6,305,763,7
7,366,814,8
8,137,857,7
9,564,31,9
10,303,157,7
11,523,830,6
12,134,231,7
13,851,445,8
14,740,311,6
15,163,95,9
16,275,499,8
17,470,814,8
18,453,217,9
19,818,525,6
20,311,911,8
21,177,374,5
22,230,4,6
23,590,302,7
24,196,103,7
25,553,879,6
26,316,446,9
27,665,375,6
28,587,609,7
29,510,95,10
30,907,455,9
31,805,956,5
32,342,345,10
33,785,309,10
34,649,584,9
35,850,24,5
36,26,126,7
37,447,817,6
38,145,527,9
39,218,825,8
40,405,151,9
41,389,436,6
42,452,619,5
43,407,367,8
44,948,514,6
45,836,996,5
46,578,334,5
47,491,929,5
48,325,696,7
49,838,842,5
50,983,788,7
51,623,549,7
52,915,72,8
53,774,336,9
54,81,238,10
55,534,537,5
56,295,406,10
57,853,358,10
58,742,581,9
59,32,964,8
60,747,352,9
61,610,799,7
62,786,853,10
63,506,168,10
64,755,957,6
65,408,67,9
66,485,734,8
67,419,256,9
68,508,155,7
69,941,589,5
70,68,42,8
71,817,595,10
72,397,274,9
73,727,302,7
74,216,237,8
75,821,320,9
76,516,531,5
77,614,163,10
78,561,920,8
79,128,834,9
80,162,534,9
81,279,644,8
82,188,329,9
83,520,301,8
84,336,782,10
85,728,230,5
86,139,848,10
87,350,154,6
88,242,162,10
89,791,925,7
90,907,497,8
91,52,593,5
92,786,457,7
93,629,745,7
94,935,439,5
95,641,78,5
96,78,835,7
97,232,226,5
98,123,479,9
99,205,840,6
100,932,357,10
101,917,917,5
102,325,559,7
103,413,373,5
104,362,477,5
105,827,881,6
106,845,263,5
107,11,938,9
108,88,535,7
109,436,200,6
110,940,319,8
111,325,59,7
112,34,264,6
113,47,470,6
114,322,89,6
115,757,29,9
116,825,289,7
117,287,304,8
118,657,82,9
119,288,406,9
120,287,623,8
121,616,828,8
122,60,445,9
123,978,511,5
124,956,171,10
125,818,184,5
126,605,464,6
127,462,934,10
128,563,229,7
129,506,33,10
130,599,895,8
131,364,90,9
132,504,28,5
133,304,854,10
134,525,226,5
135,753,926,9
136,544,127,5
137,343,127,10
138,422,270,5
139,472,104,9
140,453,844,10
141,493,36,9
142,526,137,9
143,230,995,8
144,675,278,7
145,495,428,10
146,535,57,5
147,684,158,5
148,446,37,8
149,507,67,7
150,654,332,8
151,585,226,6
152,526,932,9
153,479,288,6
154,708,108,7
155,588,159,9
156,473,898,9
157,618,85,5
158,433,373,10
159,409,207,5
160,488,29,8
161,531,204,6
162,546,212,7
163,470,925,9
164,534,887,9
165,770,74,5
166,546,47,8
167,612,177,9
168,565,128,8
169,597,299,10
170,630,398,9
171,433,936,5
172,538,29,5
173,524,66,8
174,559,181,10
175,326,841,5
176,533,86,10
177,470,27,7
178,503,136,8
179,557,307,10
180,350,13,9
181,720,957,6
182,515,103,9
183,577,95,5
184,496,204,7
185,482,329,7
186,338,918,10
187,427,792,6
188,441,297,8
189,764,238,8
190,504,147,5
191,488,66,8
192,509,204,8
193,575,226,10
194,596,931,8
195,578,922,5
196,496,161,5
197,361,962,9
198,539,869,7
199,460,149,8
200,468,807,9
201,448,49,7
202,609,100,7
203,537,7,9
204,537,228,6
205,697,29,6
206,440,120,10
207,400,190,8
208,469,264,10
209,425,950,9
210,562,167,10
211,523,61,6
212,572,82,8
213,423,903,7
214,451,908,7
215,513,236,6
216,440,203,9
217,628,934,10
218,632,84,8
219,528,30,8
220,490,1,8
221,508,184,6
222,635,25,6
223,490,104,8
224,528,2,8
225,434,938,9
226,482,957,6
227,457,847,5
228,453,24,5
229,495,287,7
230,183,354,7
231,563,201,10
232,444,930,8
233,814,278,6
234,359,893,7
235,498,49,10
236,521,240,6
237,598,325,5
238,557,228,7
239,552,367,8
240,665,287,7
241,549,277,8
242,474,937,7
243,499,922,6
244,522,337,8
245,442,130,6
246,559,398,6
247,498,46,6
248,564,162,9
249,524,193,9
250,515,935,7
251,605,773,5
